,Name,Symbol,Date,Close/Last,Volume,Open,High,Low
2005,"Meta, Inc.",META,2014-12-15,76.99,29341660,8.46,8.58,6.56
2006,"Meta, Inc.",META,2014-12-12,77.83,28049760,7.16,8.88,7.02
2007,"Meta, Inc.",META,2014-12-11,77.73,33465080,6.52,8.52,6.48
2008,"Meta, Inc.",META,2014-12-10,76.18,32168400,6.65,7.55,6.07
2009,"Meta, Inc.",META,2014-12-09,76.84,25307530,5.2,6.93,4.78
2010,"Meta, Inc.",META,2014-12-08,76.52,25674150,6.18,7.25,5.4
2011,"Meta, Inc.",META,2014-12-05,76.36,24273070,5.8,6.76,5.36
2012,"Meta, Inc.",META,2014-12-04,75.24,14369110,4.83,5.55,4.66
2013,"Meta, Inc.",META,2014-12-03,74.88,15936750,5.38,5.73,4.4
2014,"Meta, Inc.",META,2014-12-02,75.46,16750770,5.33,5.91,5.04
2015,"Meta, Inc.",META,2014-12-01,75.1,31747970,7.26,7.31,4.8
2016,"Meta, Inc.",META,2014-11-28,77.7,15992040,7.67,8.27,7.23
2017,"Meta, Inc.",META,2014-11-26,77.62,32686400,5.53,7.78,5.51
2018,"Meta, Inc.",META,2014-11-25,75.63,32199750,4.21,5.74,4.13
2019,"Meta, Inc.",META,2014-11-24,74.01,22080500,3.54,4.35,3.35
2020,"Meta, Inc.",META,2014-11-21,73.75,23039660,4.5,4.5,3.5
2021,"Meta, Inc.",META,2014-11-20,73.6,19128520,2.8,3.99,2.51
2022,"Meta, Inc.",META,2014-11-19,73.33,25401630,4.01,4.54,3.11
2023,"Meta, Inc.",META,2014-11-18,74.34,20678330,4.45,4.8,3.9
2024,"Meta, Inc.",META,2014-11-17,74.24,28669580,4.88,5.655,3.88
2025,"Meta, Inc.",META,2014-11-14,74.88,19416910,4.27,4.93,4.04
2026,"Meta, Inc.",META,2014-11-13,74.25,26408940,4.74,5.24,3.64
2027,"Meta, Inc.",META,2014-11-12,74.72,26497580,4.28,5.14,3.54
2028,"Meta, Inc.",META,2014-11-11,74.61,18702040,4.95,4.98,4.03
2029,"Meta, Inc.",META,2014-11-10,75.0,21526460,5.36,5.4799,4.61
2030,"Meta, Inc.",META,2014-11-07,75.6,20757430,5.39,5.855,5.02
2031,"Meta, Inc.",META,2014-11-06,75.26,21321380,4.89,5.6,4.31
2032,"Meta, Inc.",META,2014-11-05,74.83,35853620,6.51,6.8,4.42
2033,"Meta, Inc.",META,2014-11-04,75.76,39202820,4.23,5.77,3.65
2034,"Meta, Inc.",META,2014-11-03,73.88,40529830,5.47,5.52,3.7
2035,"Meta, Inc.",META,2014-10-31,74.99,44472280,4.93,5.7,4.45
2036,"Meta, Inc.",META,2014-10-30,74.11,83098240,5.05,5.35,2.9
2037,"Meta, Inc.",META,2014-10-29,75.86,105883000,5.45,6.88,4.78
2038,"Meta, Inc.",META,2014-10-28,80.77,61137040,0.18,1.16,9.57
2039,"Meta, Inc.",META,2014-10-27,80.28,29806870,0.74,0.8,9.76
2040,"Meta, Inc.",META,2014-10-24,80.67,32123520,0.2,0.8183,9.32
2041,"Meta, Inc.",META,2014-10-23,80.04,34892410,9.38,0.63,9.01
2042,"Meta, Inc.",META,2014-10-22,78.37,41799140,8.815,9.85,8.01
2043,"Meta, Inc.",META,2014-10-21,78.69,32176370,7.56,8.74,7.15
2044,"Meta, Inc.",META,2014-10-20,76.95,34555900,5.6,7.09,5.38
2045,"Meta, Inc.",META,2014-10-17,75.95,76263220,4.23,6.0,3.75
2046,"Meta, Inc.",META,2014-10-16,72.63,53456880,0.79,3.35,0.58
2047,"Meta, Inc.",META,2014-10-15,73.21,61397390,1.69,3.8,0.32
2048,"Meta, Inc.",META,2014-10-14,73.59,50126990,4.0,4.18,2.05
2049,"Meta, Inc.",META,2014-10-13,72.99,43847640,3.23,4.78,2.52
2050,"Meta, Inc.",META,2014-10-10,72.91,52068580,5.59,6.5,2.76
2051,"Meta, Inc.",META,2014-10-09,75.91,32421030,7.28,7.7601,5.85
2052,"Meta, Inc.",META,2014-10-08,77.52,32853310,6.18,7.71,5.1
2053,"Meta, Inc.",META,2014-10-07,76.29,25241360,7.05,7.95,6.24
2054,"Meta, Inc.",META,2014-10-06,77.555,25689890,7.19,7.89,6.85
2055,"Meta, Inc.",META,2014-10-03,77.44,23280910,7.76,8.06,7.26
2056,"Meta, Inc.",META,2014-10-02,77.08,36468900,6.57,7.48,5.64
2057,"Meta, Inc.",META,2014-10-01,76.55,55006570,8.78,8.82,5.9
2058,"Meta, Inc.",META,2014-09-30,79.04,35816980,9.35,9.7067,8.6
2059,"Meta, Inc.",META,2014-09-29,79.0,33969370,8.12,9.199,7.91
2060,"Meta, Inc.",META,2014-09-26,78.79,28827060,7.59,8.8416,7.33
2061,"Meta, Inc.",META,2014-09-25,77.22,37392870,8.6,8.94,7.13
2062,"Meta, Inc.",META,2014-09-24,78.535,30638360,8.1,8.62,7.51
2063,"Meta, Inc.",META,2014-09-23,78.29,36666690,6.33,8.63,6.04
2064,"Meta, Inc.",META,2014-09-22,76.8,31908240,7.0,7.53,5.95
2065,"Meta, Inc.",META,2014-09-19,77.91,76614560,7.4,8.3,6.44
2066,"Meta, Inc.",META,2014-09-18,77.0,22939820,6.77,7.33,6.52
2067,"Meta, Inc.",META,2014-09-17,76.43,28498200,5.96,7.25,5.57
2068,"Meta, Inc.",META,2014-09-16,76.08,37662500,3.52,6.23,3.07
2069,"Meta, Inc.",META,2014-09-15,74.58,49552660,7.15,7.25,3.43
2070,"Meta, Inc.",META,2014-09-12,77.48,26655670,8.02,8.3,7.1
2071,"Meta, Inc.",META,2014-09-11,77.92,32181110,7.13,8.36,7.05
2072,"Meta, Inc.",META,2014-09-10,77.43,29836020,6.52,7.95,6.51
2073,"Meta, Inc.",META,2014-09-09,76.67,28723090,7.59,8.17,6.2
2074,"Meta, Inc.",META,2014-09-08,77.89,28135810,7.26,8.17,7.01
2075,"Meta, Inc.",META,2014-09-05,77.26,29387630,6.1,7.38,5.598
2076,"Meta, Inc.",META,2014-09-04,75.95,26581940,5.89,6.93,5.53
2077,"Meta, Inc.",META,2014-09-03,75.83,32311920,7.14,7.48,5.6
2078,"Meta, Inc.",META,2014-09-02,76.68,34744550,5.01,6.7,4.82
2079,"Meta, Inc.",META,2014-08-29,74.82,26215560,4.3,4.82,4.01
2080,"Meta, Inc.",META,2014-08-28,73.855,21898440,4.0,4.43,3.73
2081,"Meta, Inc.",META,2014-08-27,74.63,36213130,5.27,5.49,4.46
2082,"Meta, Inc.",META,2014-08-26,75.9601,23793170,5.0,5.99,4.73
2083,"Meta, Inc.",META,2014-08-25,75.02,19683350,4.94,5.28,4.79
2084,"Meta, Inc.",META,2014-08-22,74.57,20847650,4.34,4.73,3.57
2085,"Meta, Inc.",META,2014-08-21,74.57,20053690,4.92,5.19,4.4149
2086,"Meta, Inc.",META,2014-08-20,74.81,22863680,4.97,5.18,4.62
